driverId,driver_name,avg_grid,avg_finish,avg_pit_stop,total_races,wins,podiums,dnfs,avg_quali,win_rate,podium_rate,dnf_rate
842,Pierre Gasly,10.7012987012987,11.25974025974026,108737.85432900433,154,1,5,25,11.207792207792208,0.6493506493506493,3.2467532467532463,16.233766233766232
843,Brendon Hartley,15.28,15.04,24591.126666666663,25,0,0,9,15.48,0.0,0.0,36.0
844,Charles Leclerc,6.442953020134228,7.557046979865772,95172.46935123042,149,8,43,24,6.208053691275167,5.369127516778524,28.859060402684566,16.10738255033557
845,Sergey Sirotkin,16.285714285714285,15.523809523809524,24671.126984126986,21,0,0,3,16.952380952380953,0.0,0.0,14.285714285714285
846,Lando Norris,7.2578125,7.8515625,120141.48541666666,128,4,26,11,7.21875,3.125,20.3125,8.59375
847,George Russell,9.9140625,10.53125,105292.48560267857,128,3,15,20,10.328125,2.34375,11.71875,15.625
848,Alexander Albon,11.41904761904762,11.914285714285715,78442.51317460317,105,0,2,19,11.847619047619048,0.0,1.9047619047619049,18.095238095238095
849,Nicholas Latifi,16.672131147540984,15.852459016393443,120580.27158469945,61,0,0,13,17.885245901639344,0.0,0.0,21.311475409836063
850,Pietro Fittipaldi,18.5,18.0,26316.833333333336,2,0,0,0,19.5,0.0,0.0,0.0
851,Jack Aitken,17.0,16.0,30193.0,1,0,0,0,18.0,0.0,0.0,0.0
852,Yuki Tsunoda,12.133333333333333,13.522222222222222,142850.52074074076,90,0,0,17,12.744444444444444,0.0,0.0,18.88888888888889
853,Nikita Mazepin,18.5,17.863636363636363,180324.1590909091,22,0,0,6,19.59090909090909,0.0,0.0,27.27272727272727
854,Mick Schumacher,15.340909090909092,15.659090909090908,104981.43977272726,44,0,0,6,16.363636363636363,0.0,0.0,13.636363636363635
855,Guanyu Zhou,15.014705882352942,14.647058823529411,91907.8218137255,68,0,0,10,16.191176470588236,0.0,0.0,14.705882352941178
856,Nyck de Vries,14.0,15.272727272727273,61536.39393939394,11,0,0,2,16.636363636363637,0.0,0.0,18.181818181818183
857,Oscar Piastri,7.434782608695652,7.891304347826087,153038.08586956523,46,2,10,3,7.543478260869565,4.3478260869565215,21.73913043478261,6.521739130434782
858,Logan Sargeant,16.38888888888889,16.333333333333332,103890.5648148148,36,0,0,9,17.38888888888889,0.0,0.0,25.0
859,Liam Lawson,13.454545454545455,12.909090909090908,120845.58116883115,11,0,0,1,13.363636363636363,0.0,0.0,9.090909090909092
860,Oliver Bearman,12.0,9.666666666666666,257993.0,3,0,0,0,13.0,0.0,0.0,0.0
861,Franco Colapinto,13.777777777777779,13.555555555555555,24336.583333333332,9,0,0,3,15.777777777777779,0.0,0.0,33.33333333333333
862,Jack Doohan,17.0,15.0,22080.0,1,0,0,0,20.0,0.0,0.0,0.0
